,Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
65,Angola,AGO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15.4545454545455,15,15,15,15,37.2727272727273,38.6363636363636,38.6363636363636,38.1818181818182,34.0909090909091,34.0909090909091,36.8181818181818,36.8181818181818,36.8181818181818,30.4545454545455,30.4545454545455,30,30
69,Angola,AGO,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,30.625,30.625,30.625,30.625,30.625,30.625,30.625,30.625,30.625,30.625,30.625,30.625,33.125,33.125,33.125,33.125,33.125,33.125,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,65,70.625,70.625,70.625,70.625,73.125,73.125,73.125,73.125,73.125
78,Antigua and Barbuda,ATG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26315789473684,5.26315789473684,,5.26315789473684,5.26315789473684,5.26315789473684,5.26315789473684,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,10.5263157894737,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111
82,Antigua and Barbuda,ATG,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,54.375,54.375,54.375,60.625,60.625,60.625,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25,66.25
91,Argentina,ARG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6264591439689,27.6264591439689,,26.4591439688716,,30.7392996108949,30.7392996108949,33.7254901960784,36.1867704280156,35.0194552529183,40,40,38.5214007782101,38.5214007782101,37.3540856031128,37.3540856031128,36.5758754863813,36.5758754863813,,35.7976653696498,38.1322957198444,38.9105058365759,40.1574803149606,40.8560311284047
95,Argentina,ARG,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,30.625,30.625,30.625,30.625,30.625,32.5,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,59.375,59.375,59.375,59.375,62.5,62.5,62.5,65,65,65,65,65,65,65,65,65,70,70,70,70,70,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,76.25,76.25,76.25
104,Armenia,ARM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31578947368421,6.31578947368421,3.05343511450382,3.05343511450382,3.05343511450382,3.05343511450382,4.58015267175572,5.34351145038168,5.34351145038168,5.34351145038168,9.16030534351145,8.3969465648855,9.16030534351145,9.16030534351145,8.3969465648855,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,10.6870229007634,18.0952380952381,18.0952380952381,23.4848484848485,23.4848484848485
108,Armenia,ARM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,53.125,50,52.5,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,55.625,58.75,58.75,58.75,58.75,58.75,58.75,58.75,61.875,61.875,76.875,76.875,76.875,76.875,76.875,76.875,80,80,80,80,80,80,80,82.5,82.5,82.5
117,Aruba,ABW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Aruba,ABW,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Australia,AUS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5405405405405,15.5405405405405,22.4489795918367,22.972972972973,,25.3333333333333,25.3333333333333,24.6666666666667,24.6666666666667,24.6666666666667,26.6666666666667,26.6666666666667,27.3333333333333,24.6666666666667,24.6666666666667,24.6666666666667,26,26,26.6666666666667,28.6666666666667,28.6666666666667,28.6666666666667,30.4635761589404,30.4635761589404
134,Australia,AUS,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,54.375,54.375,54.375,54.375,54.375,54.375,56.875,56.875,56.875,56.875,56.875,59.375,62.5,65.625,75,75,75,75,75,75,75,75,75,75,75,75,75,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,83.75,83.75,91.25,91.25,93.75,96.875,96.875,96.875,96.875,96.875,96.875,96.875
143,Austria,AUT,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2295081967213,26.2295081967213,,26.775956284153,26.775956284153,,33.879781420765,33.879781420765,33.879781420765,32.2404371584699,32.7868852459016,27.3224043715847,27.8688524590164,27.8688524590164,27.8688524590164,27.8688524590164,33.3333333333333,32.2404371584699,30.6010928961749,30.6010928961749,34.4262295081967,34.4262295081967,39.344262295082,39.344262295082
147,Austria,AUT,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,41.25,41.25,41.25,41.25,43.75,43.75,51.875,51.875,51.875,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,73.125,73.125,76.25,76.25,76.25,76.25,78.75,78.75,78.75,78.75,78.75,78.75,81.875,81.875,85,85,85,85,91.25,91.25,91.25,91.25,91.25,94.375,94.375,94.375,94.375,94.375,94.375,96.875
156,Azerbaijan,AZE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,,10.4838709677419,10.4838709677419,10.4838709677419,10.4838709677419,13.0434782608696,11.2903225806452,11.3821138211382,11.3821138211382,11.3821138211382,16,16,16,15.5737704918033,15.5737704918033,16.9354838709677,16.8,16.8,16.8,16.8067226890756,17.3553719008264
160,Azerbaijan,AZE,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,53.125,50,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,64.375,64.375,64.375,64.375,64.375,64.375,64.375,66.875,66.875,66.875,66.875,66.875,66.875,66.875,76.25,76.25,76.25,76.25,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75
169,"Bahamas, The",BHS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,,20,20,20,20,12.1951219512195,12.1951219512195,12.1951219512195,12.1951219512195,12.1951219512195,13.1578947368421,13.1578947368421,13.1578947368421,13.1578947368421,13.1578947368421,12.8205128205128,12.8205128205128,12.8205128205128,12.8205128205128
173,"Bahamas, The",BHS,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,50,50,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,58.75,58.75,61.875,61.875,61.875,64.375,64.375,64.375,64.375,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25,81.25
182,Bahrain,BHR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2.5,2.5,2.5,2.5,2.5,10,10,10,7.5,7.5,7.5,7.5,15,15,15
186,Bahrain,BHR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,20.625,20.625,20.625,20.625,20.625,20.625,20.625,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,31.875,31.875,31.875,31.875,31.875,31.875,31.875,35,35,35,37.5,37.5,40,46.25,55.625
195,Bangladesh,BGD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,,2,2,2,14.7826086956522,15.0724637681159,,6.33333333333333,18.5507246376812,18.5507246376812,19.7142857142857,19.7142857142857,19.7142857142857,19.8275862068966,20,20,20.2857142857143,20.2857142857143,20.6303724928367,20.9169054441261
199,Bangladesh,BGD,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,35,35,35,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,38.125,43.75,43.75,46.875,46.875,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375,49.375
208,Barbados,BRB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7142857142857,10.7142857142857,10.7142857142857,10.7142857142857,10.7142857142857,10.7142857142857,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,13.3333333333333,10,10,10,10,10,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,20,20,20
212,Barbados,BRB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,60,60,60,60,60,60,60,62.5,62.5,62.5,65.625,65.625,68.125,68.125,68.125,68.125,68.125,68.125,68.125,68.125,68.125,68.125,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,70.625,76.875,76.875,76.875
221,Belarus,BLR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3092783505155,10.3092783505155,10.3092783505155,29.3577981651376,29.0909090909091,29.0909090909091,29.0909090909091,31.8181818181818,31.8181818181818,31.8181818181818,31.8181818181818,26.605504587156,26.605504587156,26.605504587156,27.2727272727273,34.5454545454545,34.5454545454545,34.5454545454545,40,40
225,Belarus,BLR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,53.125,50,55,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,61.25,61.25,63.75,70,70,70,70,70,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,73.125,75.625,75.625,75.625,75.625,75.625,75.625,75.625
234,Belgium,BEL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6666666666667,12.6666666666667,23.3333333333333,23.3333333333333,23.3333333333333,23.3333333333333,35.3333333333333,34.6666666666667,34.6666666666667,34.6666666666667,35.3333333333333,35.3333333333333,38,39.3333333333333,38,38,38,39.3333333333333,39.3333333333333,39.3333333333333,38,38,42,41.3333333333333
238,Belgium,BEL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,38.125,38.125,40.625,40.625,40.625,40.625,40.625,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,61.25,63.75,63.75,70,72.5,75.625,75.625,75.625,75.625,84.375,84.375,84.375,84.375,87.5,87.5,93.75,93.75,100,100,100,100,100,100,100,100,100,100
247,Belize,BLZ,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44827586206897,3.44827586206897,6.89655172413793,6.89655172413793,6.89655172413793,6.89655172413793,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,0,0,0,0,3.125,3.125,3.125,3.125,3.125,9.375,9.375,9.375,9.67741935483871
251,Belize,BLZ,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,51.25,53.75,63.125,63.125,63.125,63.125,63.125,63.125,63.125,63.125,63.125,63.125,63.125,63.125,65.625,65.625,65.625,65.625,71.875,71.875,71.875,71.875,74.375,76.875,76.875,76.875,76.875,76.875,76.875,76.875,76.875,76.875,76.875,79.375,79.375,79.375,79.375,79.375,79.375,79.375,79.375,79.375
260,Benin,BEN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2289156626506,7.2289156626506,6.02409638554217,6.02409638554217,6.02409638554217,6.02409638554217,6.02409638554217,7.2289156626506,7.2289156626506,7.2289156626506,10.8433734939759,10.8433734939759,10.8433734939759,10.8433734939759,8.43373493975904,8.43373493975904,8.43373493975904,8.43373493975904,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506,7.2289156626506
264,Benin,BEN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,28.125,28.125,28.125,37.5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,49.375,49.375,49.375,49.375,49.375,46.875,46.875,65.625,65.625,71.875,71.875,71.875,71.875,71.875,74.375,74.375,74.375,74.375,74.375,74.375,74.375,74.375,77.5
273,Bermuda,BMU,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Bermuda,BMU,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Bhutan,BTN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,9.33333333333333,9.33333333333333,9.33333333333333,9.33333333333333,9.21052631578947,9.33333333333333,2.66666666666667,2.66666666666667,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,6.38297872340426,8.51063829787234,8.51063829787234,8.51063829787234,8.51063829787234,14.8936170212766,14.8936170212766,14.8936170212766
290,Bhutan,BTN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,51.875,51.875,51.875,51.875,51.875,51.875,66.875,66.875,66.875,69.375,69.375,69.375,71.875,71.875,71.875,71.875,71.875,71.875,71.875,71.875
299,Bolivia,BOL,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5384615384615,11.5384615384615,11.5384615384615,18.4615384615385,18.4615384615385,19.2307692307692,16.9230769230769,16.9230769230769,16.9230769230769,16.9230769230769,22.3076923076923,25.3846153846154,25.3846153846154,25.3846153846154,25.3846153846154,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,53.0769230769231,46.1538461538462
303,Bolivia,BOL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,36.875,36.875,36.875,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,56.25,56.25,56.25,56.25,56.25,56.25,56.25,56.25,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,61.875,65,65,68.125,68.125,76.875,76.875,88.75,88.75,88.75,88.75,88.75,88.75
312,Bosnia and Herzegovina,BIH,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14285714285714,,16.6666666666667,16.6666666666667,16.6666666666667,14.2857142857143,11.9047619047619,11.9047619047619,19.047619047619,16.6666666666667,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,21.4285714285714,26.1904761904762
316,Bosnia and Herzegovina,BIH,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,58.125,61.25,66.875,66.875,66.875,76.25,76.25,78.75,78.75,78.75,78.75,78.75,81.875,81.875,81.875,81.875,81.875,81.875,85,88.125,85,85,85
325,Botswana,BWA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.51063829787234,8.51063829787234,,17.0212765957447,17.0212765957447,17.0212765957447,17.0212765957447,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,7.93650793650794,7.93650793650794,7.93650793650794,7.93650793650794,7.93650793650794,9.52380952380952,9.52380952380952,9.52380952380952,9.52380952380952,9.52380952380952,10.7692307692308,10.7692307692308
329,Botswana,BWA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,22.5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,28.125,28.125,28.125,37.5,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,61.25,61.25,61.25,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75,63.75
338,Brazil,BRA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.62768031189084,6.62768031189084,5.65302144249513,5.65302144249513,6.82261208576998,6.23781676413255,8.57699805068226,8.57699805068226,8.57699805068226,8.7719298245614,8.96686159844054,8.96686159844054,8.7719298245614,8.57699805068226,8.57699805068226,8.57699805068226,8.57699805068226,9.94152046783626,9.94152046783626,9.94152046783626,10.7212475633528,15.009746588694,15.009746588694,14.6198830409357
342,Brazil,BRA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,31.25,31.25,31.25,31.25,30.625,30.625,30.625,30.625,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,33.125,41.25,50.625,50.625,50.625,50.625,50.625,50.625,50.625,50.625,50.625,56.875,56.875,63.125,79.375,79.375,79.375,79.375,79.375,81.875,81.875,81.875,81.875,81.875,81.875,81.875,81.875,81.875,81.875,81.875,81.875,81.875,85
351,British Virgin Islands,VGB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,British Virgin Islands,VGB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Brunei Darussalam,BRN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45161290322581,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909
368,Brunei Darussalam,BRN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,41.875,41.875,41.875,41.875,41.875,41.875,41.875,41.875,41.875,41.875,41.875,41.875,41.875,41.875,41.875,41.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,46.875,53.125,53.125,53.125,53.125,53.125,53.125,53.125,53.125,53.125,53.125,53.125
